User_ID,Task_Sequence
8," 1, 1, 1, 9, 14, 0, 0, 14, 14, 9, 1, 1, 14, 14, 9, 0, 0, 9, 0, 1"
8," 1, 1, 9, 14, 0, 0, 14, 14, 9, 1, 1, 14, 14, 9, 0, 0, 9, 0, 1, 1"
8," 1, 9, 14, 0, 0, 14, 14, 9, 1, 1, 14, 14, 9, 0, 0, 9, 0, 1, 1, 0"
8," 9, 14, 0, 0, 14, 14, 9, 1, 1, 14, 14, 9, 0, 0, 9, 0, 1, 1, 0, 14"
8," 14, 0, 0, 14, 14, 9, 1, 1, 14, 14, 9, 0, 0, 9, 0, 1, 1, 0, 14, 0"
8," 0, 0, 14, 14, 9, 1, 1, 14, 14, 9, 0, 0, 9, 0, 1, 1, 0, 14, 0, 1"
8," 0, 14, 14, 9, 1, 1, 14, 14, 9, 0, 0, 9, 0, 1, 1, 0, 14, 0, 1, 1"
8," 14, 14, 9, 1, 1, 14, 14, 9, 0, 0, 9, 0, 1, 1, 0, 14, 0, 1, 1, 14"
8," 14, 9, 1, 1, 14, 14, 9, 0, 0, 9, 0, 1, 1, 0, 14, 0, 1, 1, 14, 9"
8," 9, 1, 1, 14, 14, 9, 0, 0, 9, 0, 1, 1, 0, 14, 0, 1, 1, 14, 9, 14"
8," 1, 1, 14, 14, 9, 0, 0, 9, 0, 1, 1, 0, 14, 0, 1, 1, 14, 9, 14, 0"
8," 1, 14, 14, 9, 0, 0, 9, 0, 1, 1, 0, 14, 0, 1, 1, 14, 9, 14, 0, 0"
8," 14, 14, 9, 0, 0, 9, 0, 1, 1, 0, 14, 0, 1, 1, 14, 9, 14, 0, 0, 14"
8," 14, 9, 0, 0, 9, 0, 1, 1, 0, 14, 0, 1, 1, 14, 9, 14, 0, 0, 14, 14"
8," 9, 0, 0, 9, 0, 1, 1, 0, 14, 0, 1, 1, 14, 9, 14, 0, 0, 14, 14, 14"
8," 0, 0, 9, 0, 1, 1, 0, 14, 0, 1, 1, 14, 9, 14, 0, 0, 14, 14, 14, 1"
8," 0, 9, 0, 1, 1, 0, 14, 0, 1, 1, 14, 9, 14, 0, 0, 14, 14, 14, 1, 9"
8," 9, 0, 1, 1, 0, 14, 0, 1, 1, 14, 9, 14, 0, 0, 14, 14, 14, 1, 9, 9"
8," 0, 1, 1, 0, 14, 0, 1, 1, 14, 9, 14, 0, 0, 14, 14, 14, 1, 9, 9, 0"
8," 1, 1, 0, 14, 0, 1, 1, 14, 9, 14, 0, 0, 14, 14, 14, 1, 9, 9, 0, 1"
8," 1, 0, 14, 0, 1, 1, 14, 9, 14, 0, 0, 14, 14, 14, 1, 9, 9, 0, 1, 14"
8," 0, 14, 0, 1, 1, 14, 9, 14, 0, 0, 14, 14, 14, 1, 9, 9, 0, 1, 14, 9"
8," 14, 0, 1, 1, 14, 9, 14, 0, 0, 14, 14, 14, 1, 9, 9, 0, 1, 14, 9, 9"
8," 0, 1, 1, 14, 9, 14, 0, 0, 14, 14, 14, 1, 9, 9, 0, 1, 14, 9, 9, 1"
8," 1, 1, 14, 9, 14, 0, 0, 14, 14, 14, 1, 9, 9, 0, 1, 14, 9, 9, 1, 14"
8," 1, 14, 9, 14, 0, 0, 14, 14, 14, 1, 9, 9, 0, 1, 14, 9, 9, 1, 14, 1"
8," 14, 9, 14, 0, 0, 14, 14, 14, 1, 9, 9, 0, 1, 14, 9, 9, 1, 14, 1, 0"
8," 9, 14, 0, 0, 14, 14, 14, 1, 9, 9, 0, 1, 14, 9, 9, 1, 14, 1, 0, 0"
8," 14, 0, 0, 14, 14, 14, 1, 9, 9, 0, 1, 14, 9, 9, 1, 14, 1, 0, 0, 14"
8," 0, 0, 14, 14, 14, 1, 9, 9, 0, 1, 14, 9, 9, 1, 14, 1, 0, 0, 14, 14"
8," 0, 14, 14, 14, 1, 9, 9, 0, 1, 14, 9, 9, 1, 14, 1, 0, 0, 14, 14, 1"
8," 14, 14, 14, 1, 9, 9, 0, 1, 14, 9, 9, 1, 14, 1, 0, 0, 14, 14, 1, 1"
8," 14, 14, 1, 9, 9, 0, 1, 14, 9, 9, 1, 14, 1, 0, 0, 14, 14, 1, 1, 1"
8," 14, 1, 9, 9, 0, 1, 14, 9, 9, 1, 14, 1, 0, 0, 14, 14, 1, 1, 1, 1"
8," 1, 9, 9, 0, 1, 14, 9, 9, 1, 14, 1, 0, 0, 14, 14, 1, 1, 1, 1, 1"
8," 9, 9, 0, 1, 14, 9, 9, 1, 14, 1, 0, 0, 14, 14, 1, 1, 1, 1, 1, 1"
8," 9, 0, 1, 14, 9, 9, 1, 14, 1, 0, 0, 14, 14, 1, 1, 1, 1, 1, 1, 0"
8," 0, 1, 14, 9, 9, 1, 14, 1, 0, 0, 14, 14, 1, 1, 1, 1, 1, 1, 0, 1"
8," 1, 14, 9, 9, 1, 14, 1, 0, 0, 14, 14, 1, 1, 1, 1, 1, 1, 0, 1, 1"
8," 14, 9, 9, 1, 14, 1, 0, 0, 14, 14, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1"
8," 9, 9, 1, 14, 1, 0, 0, 14, 14, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0"
8," 9, 1, 14, 1, 0, 0, 14, 14, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 9"
8," 1, 14, 1, 0, 0, 14, 14, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 9, 14"
8," 14, 1, 0, 0, 14, 14, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 9, 14, 0"
8," 1, 0, 0, 14, 14, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 9, 14, 0, 1"
8," 0, 0, 14, 14, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 9, 14, 0, 1, 1"
8," 0, 14, 14, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 9, 14, 0, 1, 1, 9"
8," 14, 14, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 9, 14, 0, 1, 1, 9, 1"
8," 14, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 9, 14, 0, 1, 1, 9, 1, 1"
8," 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 9, 14, 0, 1, 1, 9, 1, 1, 1"
8," 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 9, 14, 0, 1, 1, 9, 1, 1, 1, 9"
8," 1, 1, 1, 1, 0, 1, 1, 1, 0, 9, 14, 0, 1, 1, 9, 1, 1, 1, 9, 0"
8," 1, 1, 1, 0, 1, 1, 1, 0, 9, 14, 0, 1, 1, 9, 1, 1, 1, 9, 0, 1"
8," 1, 1, 0, 1, 1, 1, 0, 9, 14, 0, 1, 1, 9, 1, 1, 1, 9, 0, 1, 0"
9," 3, 36"
9," 3, 36, 0"
9," 3, 36, 0, 36"
9," 3, 36, 0, 36, 36"
9," 3, 36, 0, 36, 36, 36"
10," 3, 9"
10," 3, 9, 3"
10," 3, 9, 3, 3"
10," 3, 9, 3, 3, 3"
10," 3, 9, 3, 3, 3, 3"
10," 3, 9, 3, 3, 3, 3, 3"
10," 3, 9, 3, 3, 3, 3, 3, 22"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3, 3"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3, 3, 22"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3, 3, 22, 3"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3, 3, 22, 3, 3"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3, 3, 22, 3, 3, 3"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3, 3, 22, 3, 3, 3, 3"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3, 3, 22, 3, 3, 3, 3, 1"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3, 3, 22, 3, 3, 3, 3, 1, 3"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3, 3, 22, 3, 3, 3, 3, 1, 3, 22"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3, 3, 22, 3, 3, 3, 3, 1, 3, 22, 3"
10," 3, 9, 3, 3, 3, 3, 3, 22, 3, 3, 22, 3, 3, 3, 3, 1, 3, 22, 3, 3"
10," 9, 3, 3, 3, 3, 3, 22, 3, 3, 22, 3, 3, 3, 3, 1, 3, 22, 3, 3, 22"
10," 3, 3, 3, 3, 3, 22, 3, 3, 22, 3, 3, 3, 3, 1, 3, 22, 3, 3, 22, 3"
10," 3, 3, 3, 3, 22, 3, 3, 22, 3, 3, 3, 3, 1, 3, 22, 3, 3, 22, 3, 3"
10," 3, 3, 3, 22, 3, 3, 22, 3, 3, 3, 3, 1, 3, 22, 3, 3, 22, 3, 3, 36"
10," 3, 3, 22, 3, 3, 22, 3, 3, 3, 3, 1, 3, 22, 3, 3, 22, 3, 3, 36, 22"
10," 3, 22, 3, 3, 22, 3, 3, 3, 3, 1, 3, 22, 3, 3, 22, 3, 3, 36, 22, 3"
11," 14, 14"
11," 14, 14, 9"
11," 14, 14, 9, 9"
11," 14, 14, 9, 9, 14"
11," 14, 14, 9, 9, 14, 14"
11," 14, 14, 9, 9, 14, 14, 14"
12," 32, 32"
12," 32, 32, 32"
12," 32, 32, 32, 14"
12," 32, 32, 32, 14, 14"
12," 32, 32, 32, 14, 14, 8"
13," 0, 0"
13," 0, 0, 0"
14," 14, 14"
14," 14, 14, 9"
15," 29, 12"
15," 29, 12, 6"
16," 29, 14"
16," 29, 14, 17"
17," 28, 28"
17," 28, 28, 28"
17," 28, 28, 28, 28"
17," 28, 28, 28, 28, 28"
17," 28, 28, 28, 28, 28, 4"
17," 28, 28, 28, 28, 28, 4, 9"
17," 28, 28, 28, 28, 28, 4, 9, 14"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28, 28"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28, 28, 28"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28, 28, 28, 28"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28, 28, 28, 28, 28"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28, 28, 28, 28, 28, 28"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28, 28, 28, 28, 28, 28, 28"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28, 28, 28, 28, 28, 28, 28, 28"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28, 28, 28, 28, 28, 28, 28, 28, 14"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28, 28, 28, 28, 28, 28, 28, 28, 14, 28"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28, 28, 28, 28, 28, 28, 28, 28, 14, 28, 28"
17," 28, 28, 28, 28, 28, 4, 9, 14, 28, 28, 28, 28, 28, 28, 28, 28, 14, 28, 28, 4"
17," 28, 28, 28, 28, 4, 9, 14, 28, 28, 28, 28, 28, 28, 28, 28, 14, 28, 28, 4, 28"
17," 28, 28, 28, 4, 9, 14, 28, 28, 28, 28, 28, 28, 28, 28, 14, 28, 28, 4, 28, 28"
17," 28, 28, 4, 9, 14, 28, 28, 28, 28, 28, 28, 28, 28, 14, 28, 28, 4, 28, 28, 4"
17," 28, 4, 9, 14, 28, 28, 28, 28, 28, 28, 28, 28, 14, 28, 28, 4, 28, 28, 4, 28"
17," 4, 9, 14, 28, 28, 28, 28, 28, 28, 28, 28, 14, 28, 28, 4, 28, 28, 4, 28, 28"
18," 36, 36"
19," 32, 7"
19," 32, 7, 32"
19," 32, 7, 32, 5"
19," 32, 7, 32, 5, 19"
19," 32, 7, 32, 5, 19, 32"
20," 42, 11"
20," 42, 11, 42"
20," 42, 11, 42, 29"
20," 42, 11, 42, 29, 42"
21," 13, 13"
21," 13, 13, 13"
22," 14, 6"
23," 20, 21"
24," 27, 7"
24," 27, 7, 7"
24," 27, 7, 7, 7"
24," 27, 7, 7, 7, 27"
25," 11, 9"
25," 11, 9, 9"
25," 11, 9, 9, 9"
25," 11, 9, 9, 9, 11"
25," 11, 9, 9, 9, 11, 11"
25," 11, 9, 9, 9, 11, 11, 9"
25," 11, 9, 9, 9, 11, 11, 9, 0"
25," 11, 9, 9, 9, 11, 11, 9, 0, 9"
25," 11, 9, 9, 9, 11, 11, 9, 0, 9, 11"
25," 11, 9, 9, 9, 11, 11, 9, 0, 9, 11, 11"
25," 11, 9, 9, 9, 11, 11, 9, 0, 9, 11, 11, 9"
25," 11, 9, 9, 9, 11, 11, 9, 0, 9, 11, 11, 9, 1"
25," 11, 9, 9, 9, 11, 11, 9, 0, 9, 11, 11, 9, 1, 42"
25," 11, 9, 9, 9, 11, 11, 9, 0, 9, 11, 11, 9, 1, 42, 1"
26," 1, 0"
26," 1, 0, 0"
26," 1, 0, 0, 0"
26," 1, 0, 0, 0, 0"
26," 1, 0, 0, 0, 0, 14"
26," 1, 0, 0, 0, 0, 14, 0"
27," 22, 7"
27," 22, 7, 32"
28," 7, 7"
29," 19, 19"
29," 19, 19, 0"
29," 19, 19, 0, 0"
29," 19, 19, 0, 0, 1"
29," 19, 19, 0, 0, 1, 0"
29," 19, 19, 0, 0, 1, 0, 42"
30," 31, 2"
30," 31, 2, 31"
30," 31, 2, 31, 0"
30," 31, 2, 31, 0, 2"
30," 31, 2, 31, 0, 2, 41"
30," 31, 2, 31, 0, 2, 41, 13"
30," 31, 2, 31, 0, 2, 41, 13, 14"
30," 31, 2, 31, 0, 2, 41, 13, 14, 14"
30," 31, 2, 31, 0, 2, 41, 13, 14, 14, 9"
30," 31, 2, 31, 0, 2, 41, 13, 14, 14, 9, 14"
30," 31, 2, 31, 0, 2, 41, 13, 14, 14, 9, 14, 9"
30," 31, 2, 31, 0, 2, 41, 13, 14, 14, 9, 14, 9, 2"
31," 4, 4"
31," 4, 4, 14"
31," 4, 4, 14, 14"
31," 4, 4, 14, 14, 14"
31," 4, 4, 14, 14, 14, 14"
31," 4, 4, 14, 14, 14, 14, 14"
31," 4, 4, 14, 14, 14, 14, 14, 14"
31," 4, 4, 14, 14, 14, 14, 14, 14, 42"
31," 4, 4, 14, 14, 14, 14, 14, 14, 42, 19"
31," 4, 4, 14, 14, 14, 14, 14, 14, 42, 19, 0"
31," 4, 4, 14, 14, 14, 14, 14, 14, 42, 19, 0, 42"
31," 4, 4, 14, 14, 14, 14, 14, 14, 42, 19, 0, 42, 0"
31," 4, 4, 14, 14, 14, 14, 14, 14, 42, 19, 0, 42, 0, 0"
31," 4, 4, 14, 14, 14, 14, 14, 14, 42, 19, 0, 42, 0, 0, 28"
31," 4, 4, 14, 14, 14, 14, 14, 14, 42, 19, 0, 42, 0, 0, 28, 16"
32," 29, 20"
32," 29, 20, 29"
33," 28, 0"
33," 28, 0, 14"
33," 28, 0, 14, 0"
33," 28, 0, 14, 0, 0"
33," 28, 0, 14, 0, 0, 28"
33," 28, 0, 14, 0, 0, 28, 38"
33," 28, 0, 14, 0, 0, 28, 38, 38"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0, 0"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0, 0, 38"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0, 0, 38, 38"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0, 0, 38, 38, 0"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0, 0, 38, 38, 0, 38"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0, 0, 38, 38, 0, 38, 0"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0, 0, 38, 38, 0, 38, 0, 22"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0, 0, 38, 38, 0, 38, 0, 22, 4"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0, 0, 38, 38, 0, 38, 0, 22, 4, 38"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0, 0, 38, 38, 0, 38, 0, 22, 4, 38, 0"
33," 28, 0, 14, 0, 0, 28, 38, 38, 0, 0, 38, 38, 0, 38, 0, 22, 4, 38, 0, 0"
33," 0, 14, 0, 0, 28, 38, 38, 0, 0, 38, 38, 0, 38, 0, 22, 4, 38, 0, 0, 0"
33," 14, 0, 0, 28, 38, 38, 0, 0, 38, 38, 0, 38, 0, 22, 4, 38, 0, 0, 0, 38"
34," 1, 13"
34," 1, 13, 19"
35," 0, 13"
35," 0, 13, 13"
35," 0, 13, 13, 2"
36," 45, 17"
37," 13, 7"
37," 13, 7, 20"
37," 13, 7, 20, 1"
37," 13, 7, 20, 1, 13"
37," 13, 7, 20, 1, 13, 13"
37," 13, 7, 20, 1, 13, 13, 13"
37," 13, 7, 20, 1, 13, 13, 13, 13"
37," 13, 7, 20, 1, 13, 13, 13, 13, 13"
37," 13, 7, 20, 1, 13, 13, 13, 13, 13, 20"
37," 13, 7, 20, 1, 13, 13, 13, 13, 13, 20, 13"
37," 13, 7, 20, 1, 13, 13, 13, 13, 13, 20, 13, 13"
38," 0, 2"
38," 0, 2, 0"
38," 0, 2, 0, 0"
38," 0, 2, 0, 0, 0"
38," 0, 2, 0, 0, 0, 41"
38," 0, 2, 0, 0, 0, 41, 0"
38," 0, 2, 0, 0, 0, 41, 0, 0"
38," 0, 2, 0, 0, 0, 41, 0, 0, 0"
39," 0, 0"
39," 0, 0, 13"
40," 7, 18"
41," 0, 0"
41," 0, 0, 0"
41," 0, 0, 0, 41"
41," 0, 0, 0, 41, 41"
41," 0, 0, 0, 41, 41, 0"
41," 0, 0, 0, 41, 41, 0, 0"
41," 0, 0, 0, 41, 41, 0, 0, 0"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0, 0"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 41"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 41, 41"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 41, 41, 41"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 41, 41, 41, 0"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 41, 41, 41, 0, 0"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 41, 41, 41, 0, 0, 0"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 41, 41, 41, 0, 0, 0, 0"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 41, 41, 41, 0, 0, 0, 0, 0"
41," 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 41, 41, 41, 0, 0, 0, 0, 0, 0"
41," 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 41, 41, 41, 0, 0, 0, 0, 0, 0, 7"
41," 0, 41, 41, 0, 0, 0, 0, 0, 0, 41, 41, 41, 0, 0, 0, 0, 0, 0, 7, 0"
41," 41, 41, 0, 0, 0, 0, 0, 0, 41, 41, 41, 0, 0, 0, 0, 0, 0, 7, 0, 0"
41," 41, 0, 0, 0, 0, 0, 0, 41, 41, 41, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0"
41," 0, 0, 0, 0, 0, 0, 41, 41, 41, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7"
41," 0, 0, 0, 0, 0, 41, 41, 41, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 7"
41," 0, 0, 0, 0, 41, 41, 41, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 7, 0"
41," 0, 0, 0, 41, 41, 41, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 7, 0, 41"
41," 0, 0, 41, 41, 41, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 7, 0, 41, 41"
41," 0, 41, 41, 41, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 7, 0, 41, 41, 0"
41," 41, 41, 41, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 7, 0, 41, 41, 0, 0"
41," 41, 41, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 7, 0, 41, 41, 0, 0, 0"
41," 41, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 7, 0, 41, 41, 0, 0, 0, 0"
41," 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 7, 0, 41, 41, 0, 0, 0, 0, 0"
41," 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 7, 0, 41, 41, 0, 0, 0, 0, 0, 0"
41," 0, 0, 0, 0, 7, 0, 0, 0, 7, 7, 0, 41, 41, 0, 0, 0, 0, 0, 0, 0"
41," 0, 0, 0, 7, 0, 0, 0, 7, 7, 0, 41, 41, 0, 0, 0, 0, 0, 0, 0, 0"
41," 0, 0, 7, 0, 0, 0, 7, 7, 0, 41, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0"
41," 0, 7, 0, 0, 0, 7, 7, 0, 41, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
41," 7, 0, 0, 0, 7, 7, 0, 41, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
41," 0, 0, 0, 7, 7, 0, 41, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
41," 0, 0, 7, 7, 0, 41, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
41," 0, 7, 7, 0, 41, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4"
41," 7, 7, 0, 41, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22"
41," 7, 0, 41, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 0"
41," 0, 41, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 0, 0"
41," 41, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 0, 0, 1"
41," 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 0, 0, 1, 0"
41," 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 0, 0, 1, 0, 41"
41," 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 0, 0, 1, 0, 41, 0"
41," 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 0, 0, 1, 0, 41, 0, 0"
41," 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 0, 0, 1, 0, 41, 0, 0, 0"
41," 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 0, 0, 1, 0, 41, 0, 0, 0, 0"
41," 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 0, 0, 1, 0, 41, 0, 0, 0, 0, 7"
41," 0, 0, 0, 0, 0, 0, 0, 4, 22, 0, 0, 1, 0, 41, 0, 0, 0, 0, 7, 0"
42," 0, 0"
42," 0, 0, 14"
42," 0, 0, 14, 14"
42," 0, 0, 14, 14, 14"
42," 0, 0, 14, 14, 14, 14"
42," 0, 0, 14, 14, 14, 14, 14"
42," 0, 0, 14, 14, 14, 14, 14, 14"
42," 0, 0, 14, 14, 14, 14, 14, 14, 7"
43," 1, 1"
43," 1, 1, 1"
43," 1, 1, 1, 1"
43," 1, 1, 1, 1, 19"
43," 1, 1, 1, 1, 19, 1"
43," 1, 1, 1, 1, 19, 1, 19"
43," 1, 1, 1, 1, 19, 1, 19, 1"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19, 1"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19, 1, 1"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19, 1, 1, 1"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19, 1, 1, 1, 1"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19, 1, 1, 1, 1, 1"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19, 1, 1, 1, 1, 1, 19"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19, 1, 1, 1, 1, 1, 19, 1"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19, 1, 1, 1, 1, 1, 19, 1, 19"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19, 1, 1, 1, 1, 1, 19, 1, 19, 1"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19, 1, 1, 1, 1, 1, 19, 1, 19, 1, 1"
43," 1, 1, 1, 1, 19, 1, 19, 1, 19, 1, 1, 1, 1, 1, 19, 1, 19, 1, 1, 19"
